Prefecture,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Fukui,Fukui,2022-09-01,12.66,18.25,3.36,10.5,14.12,3.62,0.32,7.81,20.69,0.99,2.56,0.44,50,Good,8.8,70.2,0.063,1.38,6.54,185.0
Fukui,Fukui,2022-10-01,8.22,10.26,7.54,9.98,11.6,5.07,0.38,7.86,34.14,0.65,4.87,0.39,34,Good,9.8,73.8,0.048,1.13,6.52,185.1
Fukui,Fukui,2022-11-01,10.84,25.48,12.68,20.69,9.36,2.38,0.3,2.84,34.75,1.26,3.99,0.77,45,Good,9.5,63.9,0.051,1.53,6.56,184.8
Fukui,Fukui,2022-12-01,19.56,18.58,10.23,21.82,11.04,4.88,0.56,11.14,53.87,0.54,1.32,0.04,66,Moderate,12.5,63.5,0.042,1.44,6.59,185.2
Fukui,Fukui,2023-01-01,18.4,36.22,7.54,20.4,16.87,4.82,0.65,7.67,30.96,1.04,1.58,0.31,63,Moderate,9.4,57.6,0.046,1.67,6.58,184.2
Fukui,Fukui,2023-02-01,19.63,26.84,4.91,9.52,7.05,6.61,0.44,5.49,27.57,1.19,1.69,0.53,66,Moderate,10.5,52.4,0.043,1.41,6.43,185.2
Fukui,Fukui,2023-03-01,16.26,17.65,7.45,9.56,10.04,5.62,0.49,9.32,45.96,1.68,2.45,1.29,58,Moderate,12.5,68.3,0.067,1.03,6.43,184.4
Fukui,Fukui,2023-04-01,9.11,25.59,8.23,15.53,7.68,2.79,0.28,6.88,20.26,0.67,4.33,0.88,38,Good,8.0,58.8,0.035,1.32,6.54,185.2
Fukui,Fukui,2023-05-01,16.28,30.31,11.02,14.2,15.89,3.88,0.52,4.31,46.36,0.58,2.59,0.29,58,Moderate,5.6,60.7,0.042,1.11,6.56,184.9
Fukui,Fukui,2023-06-01,6.17,25.26,5.13,4.25,4.36,2.92,0.33,4.32,25.94,0.71,2.09,0.48,26,Good,6.3,73.2,0.054,0.93,6.5,184.7
Fukui,Fukui,2023-07-01,10.55,9.96,10.37,3.46,12.27,3.15,0.23,1.13,41.47,0.35,2.58,0.16,44,Good,5.0,74.3,0.047,0.88,6.57,183.9
Fukui,Fukui,2023-08-01,7.21,12.13,6.85,10.58,8.46,2.36,0.25,3.58,17.69,0.79,2.73,0.7,30,Good,7.0,75.7,0.043,1.4,6.67,184.5
Fukui,Fukui,2023-09-01,7.22,18.04,5.49,12.98,5.42,4.18,0.05,3.21,34.55,0.8,3.09,0.14,30,Good,8.7,77.0,0.073,1.51,6.6,184.7
Fukui,Fukui,2023-10-01,3.06,17.18,4.1,12.76,17.36,5.92,0.61,6.45,45.97,0.35,5.37,0.31,13,Good,4.8,61.8,0.041,1.51,6.53,183.9
Fukui,Fukui,2023-11-01,14.32,35.06,5.3,14.13,16.65,3.74,0.23,4.08,32.62,1.01,4.33,1.54,54,Moderate,6.5,58.9,0.046,1.3,6.55,184.5
Fukui,Fukui,2023-12-01,20.27,19.4,15.98,6.79,9.75,5.66,0.39,6.52,66.07,1.85,6.75,0.31,67,Moderate,3.6,55.8,0.049,1.79,6.49,185.0
Fukui,Fukui,2024-01-01,11.35,34.47,13.99,16.83,20.58,6.83,0.74,6.11,39.08,1.97,4.03,0.14,47,Good,8.0,67.1,0.066,1.42,6.42,184.2
Fukui,Fukui,2024-02-01,22.47,35.34,15.37,15.93,19.94,4.28,0.45,2.23,47.7,1.0,7.13,0.63,72,Moderate,8.8,52.7,0.047,1.9,6.39,183.6
Fukui,Fukui,2024-03-01,15.19,20.64,10.77,11.68,23.69,2.29,0.74,8.98,30.52,1.44,4.6,1.01,56,Moderate,10.4,55.7,0.057,1.28,6.34,184.5
Fukui,Fukui,2024-04-01,7.03,20.84,12.53,15.51,14.51,6.0,0.42,9.55,29.32,0.61,4.06,0.36,29,Good,6.2,76.7,0.046,1.53,6.49,184.2
Fukui,Fukui,2024-05-01,7.92,16.04,6.56,5.79,18.43,2.4,0.41,2.85,39.71,1.24,2.78,0.61,33,Good,5.4,64.2,0.052,1.4,6.47,183.9
Fukui,Fukui,2024-06-01,9.24,17.98,5.29,10.27,9.49,2.17,0.15,3.44,25.6,0.98,1.28,0.54,38,Good,6.8,75.7,0.046,1.51,6.36,184.2
Fukui,Fukui,2024-07-01,4.71,14.26,7.56,5.43,8.44,2.72,0.38,3.35,12.98,0.94,1.6,0.57,20,Good,8.9,71.6,0.056,1.14,6.45,184.3
Fukui,Fukui,2024-08-01,11.53,15.13,3.42,11.99,5.58,2.71,0.23,0.47,25.6,1.01,2.72,0.68,48,Good,4.4,71.2,0.055,1.18,6.44,183.7
Fukui,Fukui,2024-09-01,13.93,23.08,2.61,5.08,10.11,1.67,0.29,7.76,19.84,0.22,0.65,0.72,53,Moderate,10.3,76.5,0.032,1.73,6.48,184.7
Fukui,Fukui,2024-10-01,19.93,29.87,9.89,12.66,7.81,1.73,0.5,3.73,26.99,0.94,1.44,1.03,66,Moderate,8.2,76.4,0.026,1.4,6.41,183.8
Fukui,Fukui,2024-11-01,8.9,32.49,12.19,19.18,6.29,3.81,0.48,6.4,36.78,0.54,5.33,1.3,37,Good,6.2,59.7,0.05,1.48,6.37,184.3
Fukui,Fukui,2024-12-01,18.64,31.03,9.03,17.75,19.66,5.74,0.79,9.47,48.43,2.12,2.99,1.45,64,Moderate,12.3,53.4,0.03,0.8,6.51,184.4
Fukui,Fukui,2025-01-01,21.2,23.34,14.65,25.91,17.7,1.85,0.21,5.18,66.23,0.7,7.68,1.36,69,Moderate,11.4,52.7,0.05,1.37,6.31,184.2
Fukui,Fukui,2025-02-01,21.14,30.0,8.84,24.43,26.17,4.2,0.73,9.53,26.72,0.93,4.31,0.27,69,Moderate,9.8,60.6,0.058,1.35,6.36,184.1
Fukui,Fukui,2025-03-01,9.97,34.7,10.07,19.68,24.97,6.47,0.14,4.3,25.22,1.76,1.08,0.66,42,Good,11.2,69.0,0.059,1.55,6.32,183.4
Fukui,Fukui,2025-04-01,13.38,20.26,13.48,6.94,12.85,5.14,0.24,3.6,23.83,0.79,0.83,1.04,52,Moderate,6.4,58.9,0.058,1.92,6.42,183.5
Fukui,Fukui,2025-05-01,9.42,18.44,6.94,17.6,18.42,3.06,0.49,5.63,27.86,0.02,3.64,0.29,39,Good,3.5,65.9,0.046,1.3,6.38,183.7
Fukui,Fukui,2025-06-01,8.55,9.51,4.97,12.37,8.1,0.33,0.43,5.01,44.91,0.3,1.85,0.51,36,Good,2.8,88.6,0.063,1.36,6.49,184.2
Fukui,Fukui,2025-07-01,9.09,14.1,10.0,4.29,10.64,2.67,0.28,5.64,24.82,1.11,2.94,0.42,38,Good,4.4,81.7,0.041,1.01,6.38,183.8
Fukui,Fukui,2025-08-01,6.46,19.81,4.26,9.37,8.49,1.83,0.29,3.65,33.1,0.52,1.55,0.25,27,Good,4.2,75.9,0.047,1.34,6.57,184.0
Fukui,Fukui,2025-09-01,7.01,20.64,3.31,8.37,16.42,2.05,0.17,5.88,21.55,1.23,1.53,0.87,29,Good,6.0,74.5,0.056,1.19,6.29,183.5
Fukui,Fukui,2025-10-01,10.85,27.69,4.86,8.22,12.66,3.53,0.53,4.42,38.46,0.76,4.8,0.58,45,Good,7.2,59.3,0.049,1.26,6.38,184.0
Fukui,Fukui,2025-11-01,14.45,25.23,11.0,5.45,16.58,3.18,0.41,6.19,50.97,1.26,1.28,0.63,54,Moderate,7.3,66.5,0.05,1.14,6.32,184.0
Fukui,Fukui,2025-12-01,25.4,20.56,10.25,20.02,13.59,4.27,0.39,7.04,34.15,1.11,4.39,1.21,79,Moderate,7.5,45.0,0.042,1.05,6.35,183.6
Fukui,Sabae,2014-01-01,26.46,24.89,5.96,11.6,32.38,5.31,0.86,6.29,70.0,1.85,1.8,1.39,81,Moderate,8.6,43.0,0.053,0.81,7.02,188.0
Fukui,Sabae,2014-02-01,18.85,48.02,14.18,10.12,15.86,3.37,0.33,10.81,36.77,1.93,3.83,1.68,64,Moderate,10.7,62.7,0.049,1.4,7.03,187.9
Fukui,Sabae,2014-03-01,22.13,19.29,4.11,17.03,23.63,2.66,0.79,7.43,48.31,1.44,6.57,0.89,71,Moderate,10.5,58.3,0.065,1.43,7.07,188.5
Fukui,Sabae,2014-04-01,15.33,18.55,12.03,20.6,10.31,3.41,0.23,1.79,44.67,1.24,4.55,0.58,56,Moderate,9.6,67.9,0.057,0.68,7.1,187.7
Fukui,Sabae,2014-05-01,9.49,18.8,11.69,10.2,12.84,3.46,0.16,7.28,53.01,0.23,1.1,1.24,40,Good,9.6,67.7,0.06,1.06,6.98,188.0
Fukui,Sabae,2014-06-01,10.04,20.72,11.12,14.5,10.55,2.65,0.33,1.7,29.95,0.72,3.57,0.86,42,Good,7.7,76.4,0.063,1.18,6.94,187.4
Fukui,Sabae,2014-07-01,12.8,16.75,5.94,5.36,5.76,1.97,0.38,4.6,26.98,0.65,2.29,0.78,51,Moderate,6.3,78.5,0.034,1.61,7.03,187.8
Fukui,Sabae,2014-08-01,15.81,19.06,3.29,4.46,15.2,2.65,0.42,1.55,22.65,0.19,0.83,0.39,57,Moderate,6.7,70.3,0.058,1.56,6.89,188.3
Fukui,Sabae,2014-09-01,19.22,12.33,3.86,10.37,7.01,4.85,0.33,2.61,14.28,0.66,1.01,0.12,65,Moderate,10.1,84.2,0.066,0.75,6.91,187.6
Fukui,Sabae,2014-10-01,15.05,32.04,5.44,14.07,23.14,4.92,0.45,8.91,29.51,0.89,2.13,0.66,56,Moderate,11.0,63.1,0.066,0.86,7.1,188.1
Fukui,Sabae,2014-11-01,16.84,33.34,4.93,21.47,19.06,6.03,0.52,10.33,45.13,0.38,4.93,0.87,60,Moderate,3.9,61.3,0.044,1.25,7.09,188.9
Fukui,Sabae,2014-12-01,18.56,19.88,10.65,11.35,6.49,3.21,0.63,8.12,35.2,1.01,7.04,0.48,63,Moderate,11.7,64.8,0.051,0.76,6.97,187.7
Fukui,Sabae,2015-01-01,16.06,21.1,21.39,23.39,16.48,7.88,0.83,12.1,30.35,0.55,4.37,0.63,58,Moderate,10.4,67.2,0.029,1.46,6.98,187.0
Fukui,Sabae,2015-02-01,26.6,40.24,5.7,10.18,6.33,4.77,0.51,3.77,40.84,1.96,5.46,0.32,81,Moderate,7.8,50.4,0.054,0.82,6.87,187.8
Fukui,Sabae,2015-03-01,17.22,37.41,5.6,17.5,10.78,6.04,0.44,8.61,22.75,0.83,3.57,1.04,60,Moderate,9.3,69.7,0.045,1.08,6.97,186.8
Fukui,Sabae,2015-04-01,18.85,15.87,15.04,15.39,19.73,5.07,0.43,5.21,43.11,1.7,2.57,1.36,64,Moderate,4.4,63.8,0.053,1.32,6.97,187.9
Fukui,Sabae,2015-05-01,8.18,19.17,2.84,12.98,9.62,5.37,0.32,9.31,56.38,0.38,2.56,0.58,34,Good,2.5,71.0,0.042,1.18,6.87,187.5
Fukui,Sabae,2015-06-01,10.14,22.3,4.27,16.62,15.38,5.3,0.16,3.25,33.53,0.94,1.56,0.27,42,Good,6.9,84.4,0.055,0.96,6.91,187.8
Fukui,Sabae,2015-07-01,9.19,20.13,8.51,7.09,7.35,2.0,0.41,3.01,41.03,0.27,3.72,0.71,38,Good,7.0,75.7,0.047,1.31,6.89,187.9
Fukui,Sabae,2015-08-01,9.93,20.58,5.82,16.16,6.87,2.41,0.44,3.51,40.35,1.08,0.63,0.97,41,Good,10.2,69.6,0.048,0.86,6.87,187.6
Fukui,Sabae,2015-09-01,9.47,20.71,8.41,11.88,12.02,4.22,0.23,2.98,26.04,0.9,3.53,1.0,39,Good,6.5,68.9,0.075,0.81,7.0,187.0
Fukui,Sabae,2015-10-01,9.22,16.74,7.85,20.49,17.87,2.29,0.3,7.31,50.72,1.35,3.41,1.05,38,Good,5.0,65.3,0.052,1.0,7.13,187.1
Fukui,Sabae,2015-11-01,21.61,26.97,14.59,16.77,18.36,7.14,0.73,9.94,56.89,0.94,1.88,0.47,70,Moderate,9.1,62.1,0.053,1.56,7.08,188.2
Fukui,Sabae,2015-12-01,21.44,30.68,10.14,28.43,10.77,2.91,0.71,12.23,58.32,2.02,3.0,1.54,70,Moderate,11.0,47.9,0.043,0.77,6.97,187.5
Fukui,Sabae,2016-01-01,15.69,42.75,15.06,6.06,20.51,6.04,0.95,4.22,52.0,1.72,5.07,1.44,57,Moderate,5.2,49.2,0.068,1.27,6.82,187.6
Fukui,Sabae,2016-02-01,20.57,23.37,5.87,20.36,23.84,4.47,0.61,9.66,32.91,1.23,4.2,0.97,68,Moderate,8.3,64.0,0.059,1.52,6.84,187.5
Fukui,Sabae,2016-03-01,21.46,36.47,3.47,19.67,12.91,6.57,0.61,9.9,60.36,0.44,2.22,0.65,70,Moderate,10.3,66.5,0.047,0.89,6.91,187.0
Fukui,Sabae,2016-04-01,12.45,28.65,10.58,15.88,6.38,6.22,0.34,6.88,44.36,0.84,5.41,0.35,50,Good,9.0,61.2,0.042,1.26,6.83,187.2
Fukui,Sabae,2016-05-01,8.1,17.76,13.33,6.77,6.8,3.66,0.6,8.17,54.0,0.99,2.36,0.81,34,Good,4.1,69.9,0.065,1.05,6.92,187.8
Fukui,Sabae,2016-06-01,13.41,12.8,5.47,7.18,5.76,3.85,0.15,6.51,30.26,0.74,2.97,0.28,52,Moderate,3.6,70.2,0.046,1.15,6.89,187.7
Fukui,Sabae,2016-07-01,13.43,20.68,2.23,11.36,5.81,2.59,0.31,4.69,21.75,0.79,1.91,0.81,52,Moderate,6.2,76.0,0.047,1.39,6.96,187.1
Fukui,Sabae,2016-08-01,6.5,13.18,4.22,8.49,9.4,2.79,0.28,2.53,21.71,0.66,1.15,0.68,27,Good,3.0,86.1,0.053,0.8,6.81,187.1
Fukui,Sabae,2016-09-01,12.82,25.25,8.18,12.32,15.3,4.44,0.2,6.36,18.02,1.16,2.3,0.99,51,Moderate,9.7,70.2,0.035,1.18,6.89,186.7
Fukui,Sabae,2016-10-01,8.53,29.87,6.95,14.84,8.55,5.91,0.22,5.56,44.43,0.73,3.32,0.51,36,Good,8.0,71.2,0.043,1.54,6.89,187.5
Fukui,Sabae,2016-11-01,14.39,30.24,15.57,21.49,7.41,3.04,0.7,9.35,24.72,1.4,3.18,0.12,54,Moderate,8.4,66.1,0.051,1.02,6.93,187.0
Fukui,Sabae,2016-12-01,15.91,40.24,16.32,24.27,27.71,7.75,0.72,9.29,31.66,1.91,5.01,0.83,57,Moderate,5.2,60.7,0.048,0.77,6.88,187.6
Fukui,Sabae,2017-01-01,15.85,22.61,7.48,10.86,25.18,4.2,0.14,3.88,57.89,1.81,4.53,0.06,57,Moderate,12.1,54.6,0.045,1.4,6.82,187.0
Fukui,Sabae,2017-02-01,19.68,18.75,2.47,16.31,14.9,6.88,0.79,6.15,67.1,2.13,1.33,0.25,66,Moderate,10.8,46.9,0.052,0.29,6.8,186.9
Fukui,Sabae,2017-03-01,20.93,40.49,13.34,17.22,12.57,1.75,0.62,3.95,61.81,0.32,2.05,1.56,69,Moderate,8.7,59.5,0.05,0.94,6.8,187.0
Fukui,Sabae,2017-04-01,19.0,32.21,9.26,12.04,13.3,1.95,0.13,2.6,24.43,0.76,4.67,0.73,64,Moderate,8.3,67.0,0.051,0.8,6.89,187.3
Fukui,Sabae,2017-05-01,16.91,27.43,12.89,14.27,7.17,4.96,0.3,5.78,32.44,1.5,3.59,1.18,60,Moderate,11.8,57.4,0.034,1.26,6.82,186.2
Fukui,Sabae,2017-06-01,13.24,25.96,11.98,13.13,6.1,4.3,0.19,3.51,19.85,0.59,0.92,0.18,52,Moderate,8.9,69.6,0.045,1.14,6.88,187.1
Fukui,Sabae,2017-07-01,9.76,23.43,11.11,14.18,17.2,4.24,0.26,4.75,21.91,0.8,3.38,0.62,41,Good,5.8,83.3,0.049,1.12,6.84,186.9
Fukui,Sabae,2017-08-01,16.68,17.44,4.87,5.15,13.14,1.32,0.06,1.38,20.04,0.38,2.91,0.31,59,Moderate,8.6,80.4,0.043,1.74,6.79,186.6
Fukui,Sabae,2017-09-01,11.73,24.49,7.52,10.9,13.93,3.2,0.4,4.93,39.59,0.99,3.9,0.64,49,Good,5.5,76.9,0.032,1.21,6.8,186.5
Fukui,Sabae,2017-10-01,18.34,23.22,8.64,8.84,9.46,1.96,0.38,8.38,29.42,1.25,4.24,0.4,63,Moderate,8.2,71.6,0.042,1.69,6.79,186.7
Fukui,Sabae,2017-11-01,7.92,39.26,8.47,9.55,16.14,2.14,0.59,4.39,45.86,1.85,6.5,0.5,33,Good,7.7,68.8,0.047,1.57,6.76,186.8
Fukui,Sabae,2017-12-01,19.59,23.91,7.9,25.79,25.23,6.01,0.41,3.9,56.56,1.83,1.9,0.19,66,Moderate,8.3,53.8,0.06,1.52,6.77,186.8
Fukui,Sabae,2018-01-01,24.16,46.7,15.58,22.41,29.51,2.62,0.59,3.41,38.57,0.6,5.26,1.52,76,Moderate,9.8,46.1,0.07,1.39,6.67,186.2
Fukui,Sabae,2018-02-01,15.67,41.15,7.79,22.86,29.88,3.15,0.82,8.51,57.15,1.11,6.58,1.35,57,Moderate,11.1,63.8,0.054,1.15,6.75,186.1
Fukui,Sabae,2018-03-01,11.09,31.29,7.22,24.59,12.52,6.55,0.3,4.12,58.38,1.16,5.46,0.54,46,Good,8.7,59.9,0.052,1.41,6.71,186.2
Fukui,Sabae,2018-04-01,7.33,37.26,12.13,9.82,18.6,4.52,0.53,1.04,49.12,0.39,3.17,1.49,31,Good,7.3,72.2,0.054,0.89,6.68,186.3
Fukui,Sabae,2018-05-01,14.86,14.02,4.24,9.62,18.85,2.63,0.38,5.0,42.87,0.79,4.21,0.89,55,Moderate,12.1,72.5,0.05,1.27,6.72,186.0
Fukui,Sabae,2018-06-01,8.16,20.51,6.24,3.9,16.24,1.99,0.41,6.84,30.18,0.68,4.19,0.69,34,Good,5.6,69.3,0.049,1.35,6.95,186.4
Fukui,Sabae,2018-07-01,11.97,23.04,6.94,12.28,12.96,1.22,0.3,2.17,33.81,0.91,3.98,0.49,50,Good,7.8,84.9,0.059,1.7,6.87,186.6
Fukui,Sabae,2018-08-01,9.87,17.33,6.93,11.33,7.24,1.35,0.32,3.99,38.85,1.17,3.77,0.21,41,Good,4.4,75.6,0.036,1.68,6.81,186.1
Fukui,Sabae,2018-09-01,9.66,24.5,3.97,12.45,10.92,4.51,0.23,4.76,28.63,0.97,1.32,0.44,40,Good,4.3,76.1,0.067,0.9,6.79,187.0
Fukui,Sabae,2018-10-01,19.04,32.63,4.92,6.1,9.91,2.18,0.63,3.1,19.98,1.17,4.41,1.04,64,Moderate,10.3,57.1,0.055,1.05,6.81,186.8
Fukui,Sabae,2018-11-01,21.66,22.0,12.02,14.79,9.84,4.1,0.34,8.49,51.21,1.06,5.34,0.67,70,Moderate,8.9,72.2,0.056,0.83,6.75,186.5
Fukui,Sabae,2018-12-01,13.53,40.09,16.11,13.54,21.05,3.0,0.74,9.06,69.17,1.47,1.91,0.74,52,Moderate,5.4,50.7,0.042,1.08,6.78,186.8
Fukui,Sabae,2019-01-01,12.72,42.83,3.83,19.16,15.2,4.48,0.8,6.09,68.01,1.22,6.92,1.65,50,Good,2.8,60.4,0.043,1.52,6.67,185.8
Fukui,Sabae,2019-02-01,10.41,45.65,13.59,7.57,20.7,5.31,0.65,7.35,31.54,0.88,1.88,0.76,43,Good,9.4,45.0,0.048,1.15,6.85,186.5
Fukui,Sabae,2019-03-01,27.63,25.15,14.19,13.14,7.58,2.08,0.39,9.67,44.54,0.99,4.46,0.92,84,Moderate,12.5,72.7,0.042,1.56,6.82,186.0
Fukui,Sabae,2019-04-01,12.36,33.68,2.57,17.06,9.42,4.0,0.23,9.59,46.86,1.48,0.64,1.06,50,Good,6.7,71.8,0.068,1.02,6.61,186.0
Fukui,Sabae,2019-05-01,11.53,13.26,12.32,16.81,21.56,1.28,0.23,2.36,55.28,0.76,5.58,0.39,48,Good,5.8,74.6,0.052,1.67,6.81,185.5
Fukui,Sabae,2019-06-01,13.22,22.08,8.53,8.14,16.92,3.47,0.26,3.01,45.76,0.66,0.98,0.98,51,Moderate,4.3,83.7,0.047,1.17,6.87,186.1
Fukui,Sabae,2019-07-01,10.94,25.23,8.27,9.85,8.07,4.08,0.39,1.81,30.37,0.43,4.57,0.88,46,Good,2.0,76.9,0.061,1.52,6.68,185.8
Fukui,Sabae,2019-08-01,8.83,15.22,4.99,6.24,14.0,1.51,0.52,5.11,30.31,0.9,2.22,0.17,37,Good,7.9,83.5,0.059,1.44,6.73,186.1
Fukui,Sabae,2019-09-01,13.12,10.04,8.05,8.35,14.06,2.32,0.47,5.0,17.77,1.27,0.81,0.95,51,Moderate,7.1,71.5,0.059,0.77,6.78,185.9
Fukui,Sabae,2019-10-01,18.16,14.23,4.64,13.65,6.61,4.68,0.4,7.49,33.84,0.83,1.1,1.22,63,Moderate,5.8,57.1,0.053,1.1,6.61,186.7
Fukui,Sabae,2019-11-01,8.59,32.03,8.51,7.65,12.88,2.8,0.37,7.92,56.61,0.95,4.0,0.65,36,Good,8.5,67.1,0.06,1.32,6.69,186.2
Fukui,Sabae,2019-12-01,26.71,40.07,8.83,15.15,20.5,8.49,0.54,7.57,57.38,1.84,3.83,1.75,82,Moderate,9.0,58.4,0.057,1.49,6.6,186.0
Fukui,Sabae,2020-01-01,12.21,43.81,9.36,25.57,20.53,6.58,0.59,3.94,30.31,1.47,5.82,0.83,49,Good,9.4,50.4,0.055,1.59,6.76,185.1
Fukui,Sabae,2020-02-01,25.5,41.45,2.86,17.37,6.97,2.91,0.25,5.18,63.93,1.15,6.0,1.33,79,Moderate,7.9,50.9,0.065,1.05,6.69,185.5
Fukui,Sabae,2020-03-01,12.07,22.13,4.72,8.8,11.97,4.07,0.29,5.05,23.76,0.77,4.51,0.27,49,Good,7.3,65.2,0.044,1.17,6.7,185.8
Fukui,Sabae,2020-04-01,5.03,9.59,5.46,5.5,6.31,2.59,0.1,0.92,15.38,0.8,1.06,0.46,21,Good,11.9,58.8,0.052,1.08,6.68,186.4
Fukui,Sabae,2020-05-01,8.48,19.38,4.75,2.14,2.53,2.58,0.19,1.69,40.04,0.58,1.24,0.67,35,Good,10.9,70.8,0.057,1.06,6.69,185.9
Fukui,Sabae,2020-06-01,8.1,4.87,3.29,7.25,4.77,2.01,0.25,2.77,19.75,0.77,1.45,0.35,34,Good,6.8,73.6,0.054,1.65,6.67,186.0
Fukui,Sabae,2020-07-01,12.24,19.75,5.96,14.08,17.25,2.93,0.38,5.84,25.34,0.62,1.21,0.42,49,Good,6.3,85.7,0.053,1.08,6.65,186.3
Fukui,Sabae,2020-08-01,15.52,12.15,1.77,4.84,10.24,3.69,0.34,6.52,44.26,1.0,3.32,0.23,57,Moderate,2.6,77.7,0.046,1.34,6.69,185.8
Fukui,Sabae,2020-09-01,9.86,19.4,5.98,17.5,9.52,3.75,0.13,1.28,19.31,0.42,2.03,0.65,41,Good,7.3,78.9,0.057,1.29,6.63,185.2
Fukui,Sabae,2020-10-01,9.82,22.96,12.82,11.06,18.51,4.3,0.64,7.31,20.16,0.84,1.52,1.29,41,Good,7.8,74.6,0.046,0.86,6.55,186.1
Fukui,Sabae,2020-11-01,16.16,18.12,11.58,9.02,18.67,2.2,0.42,4.62,45.19,1.29,6.04,1.56,58,Moderate,7.4,65.5,0.047,1.45,6.57,185.6
Fukui,Sabae,2020-12-01,24.77,33.6,14.88,5.74,20.66,4.71,0.16,2.77,25.94,1.48,5.01,1.46,77,Moderate,8.1,47.8,0.046,1.01,6.67,185.6
Fukui,Sabae,2021-01-01,30.01,23.7,13.28,24.34,21.88,3.37,0.4,4.58,58.49,2.0,7.82,1.42,89,Moderate,7.9,62.9,0.06,1.52,6.57,185.6
Fukui,Sabae,2021-02-01,20.99,38.19,17.14,12.1,23.63,5.98,0.38,2.42,30.87,0.41,4.46,0.44,69,Moderate,12.6,52.1,0.039,1.29,6.58,185.9
Fukui,Sabae,2021-03-01,12.03,38.33,13.88,24.12,26.45,5.05,0.35,6.13,36.56,0.27,6.76,1.44,49,Good,8.9,52.2,0.042,1.03,6.53,185.2
Fukui,Sabae,2021-04-01,15.42,34.62,7.78,20.53,19.03,3.76,0.45,7.12,26.62,0.35,3.57,1.41,56,Moderate,4.3,64.3,0.066,1.28,6.54,185.4
Fukui,Sabae,2021-05-01,10.48,21.7,11.79,13.99,13.36,3.77,0.29,4.86,17.49,0.89,2.01,0.88,44,Good,11.0,68.6,0.048,1.18,6.53,185.3
Fukui,Sabae,2021-06-01,13.67,13.84,9.52,9.59,8.85,1.91,0.36,4.01,22.65,0.4,3.11,0.7,52,Moderate,8.3,76.4,0.051,0.72,6.49,185.6
Fukui,Sabae,2021-07-01,7.24,19.54,6.66,11.02,14.48,4.03,0.44,5.22,39.37,0.49,2.13,0.87,30,Good,3.8,84.5,0.047,1.46,6.55,185.7
Fukui,Sabae,2021-08-01,5.58,13.95,0.77,13.53,12.23,3.11,0.3,2.8,44.2,0.59,1.21,0.12,23,Good,10.4,88.6,0.041,1.7,6.65,185.3
Fukui,Sabae,2021-09-01,12.64,23.6,9.23,14.96,9.07,4.08,0.42,3.96,41.01,0.26,3.9,0.44,50,Good,7.4,66.3,0.06,0.77,6.7,185.2
Fukui,Sabae,2021-10-01,16.15,28.05,4.91,19.93,7.14,4.2,0.49,5.59,43.13,1.23,3.5,0.45,58,Moderate,7.5,63.1,0.051,1.36,6.58,185.6
Fukui,Sabae,2021-11-01,19.57,24.31,3.32,8.34,24.66,5.78,0.58,9.22,45.51,1.45,0.79,1.43,66,Moderate,7.9,56.4,0.045,1.43,6.54,185.3
Fukui,Sabae,2021-12-01,10.27,41.7,8.09,18.99,24.23,3.91,0.62,11.35,48.1,0.92,4.08,1.72,43,Good,5.0,64.1,0.057,1.96,6.78,185.1
Fukui,Sabae,2022-01-01,21.48,24.49,11.47,19.16,8.12,5.83,0.27,10.21,63.64,1.86,0.48,0.9,70,Moderate,9.6,50.1,0.041,0.89,6.47,184.8
Fukui,Sabae,2022-02-01,9.29,23.68,10.94,20.88,9.97,5.85,0.39,5.57,61.34,1.45,7.16,1.74,39,Good,12.9,52.7,0.063,1.37,6.7,184.6
Fukui,Sabae,2022-03-01,21.52,34.9,10.64,13.95,11.81,4.8,0.63,7.67,34.77,1.74,2.23,0.93,70,Moderate,11.9,65.8,0.055,1.12,6.6,184.9
Fukui,Sabae,2022-04-01,9.23,17.53,6.55,19.93,22.4,3.54,0.47,6.51,32.3,0.53,2.77,0.31,38,Good,9.1,74.1,0.039,1.6,6.46,184.5
Fukui,Sabae,2022-05-01,18.48,27.48,11.16,14.83,13.82,2.21,0.5,4.74,38.88,1.08,1.7,0.47,63,Moderate,11.2,69.4,0.05,1.0,6.5,184.9
Fukui,Sabae,2022-06-01,10.31,24.75,6.45,9.08,3.19,4.16,0.26,5.6,30.47,0.34,1.61,0.21,43,Good,8.6,74.5,0.067,1.59,6.45,185.4
Fukui,Sabae,2022-07-01,9.42,10.81,6.42,3.32,15.03,3.21,0.43,3.01,33.08,0.69,2.84,0.53,39,Good,5.3,82.7,0.039,0.73,6.59,185.2
Fukui,Sabae,2022-08-01,10.66,20.16,4.42,11.44,16.55,3.54,0.23,4.66,13.07,0.92,3.74,0.4,44,Good,7.5,66.9,0.045,1.33,6.59,184.7
Fukui,Sabae,2022-09-01,16.0,26.09,8.48,6.46,11.23,3.93,0.16,4.44,14.36,0.94,1.61,0.62,58,Moderate,5.4,82.4,0.041,1.31,6.48,185.3
