Province,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Balochistan,Quetta,2016-06-01,66.85,57.25,22.98,33.84,49.38,20.65,0.62,6.5,22.5,2.74,2.97,3.13,157,Unhealthy,14.2,37.0,0.243,4.05,15.55,36.4
Balochistan,Quetta,2016-07-01,32.73,71.7,9.18,41.35,44.42,9.52,1.61,10.3,34.41,0.99,3.12,2.58,94,Moderate,14.1,75.9,0.205,3.99,16.03,36.5
Balochistan,Quetta,2016-08-01,23.33,112.26,6.79,35.85,28.91,12.64,0.94,13.0,24.77,2.44,2.89,0.44,75,Moderate,8.3,77.6,0.275,2.25,15.97,36.6
Balochistan,Quetta,2016-09-01,73.14,72.68,9.08,35.76,25.45,20.84,1.73,20.94,52.85,2.68,7.65,3.43,160,Unhealthy,8.9,66.8,0.1,1.76,15.84,36.6
Balochistan,Quetta,2016-10-01,81.15,96.86,15.95,54.37,39.61,16.75,2.32,25.79,56.24,5.0,11.48,0.54,164,Unhealthy,5.7,45.1,0.153,1.92,16.02,36.6
Balochistan,Quetta,2016-11-01,76.58,204.09,41.88,71.32,42.14,22.82,1.76,33.89,93.0,3.4,4.13,1.16,162,Unhealthy,3.8,63.5,0.211,0.93,16.19,36.6
Balochistan,Quetta,2016-12-01,154.07,244.56,41.91,47.91,57.87,24.98,3.64,26.18,96.18,2.12,10.2,6.34,205,Very Unhealthy,2.0,61.5,0.188,0.5,16.26,36.5
Balochistan,Quetta,2017-01-01,71.42,231.4,53.16,53.78,70.85,18.65,2.77,17.06,66.32,5.02,10.6,0.93,159,Unhealthy,2.8,58.5,0.255,1.36,16.62,37.1
Balochistan,Quetta,2017-02-01,84.53,130.14,39.0,68.87,70.27,18.5,3.09,25.15,48.94,3.89,11.92,2.76,166,Unhealthy,3.6,54.9,0.196,1.06,16.35,36.9
Balochistan,Quetta,2017-03-01,63.24,177.73,33.17,57.69,63.35,13.49,0.79,19.33,58.04,1.88,8.06,1.38,155,Unhealthy,8.0,61.5,0.193,1.68,16.28,37.1
Balochistan,Quetta,2017-04-01,58.09,152.07,30.93,27.58,51.81,23.45,0.98,11.38,38.0,1.9,2.83,1.43,152,Unhealthy,12.5,31.8,0.182,1.93,16.96,37.0
Balochistan,Quetta,2017-05-01,34.67,82.9,18.34,39.98,30.03,18.32,1.83,10.33,43.67,2.03,8.19,0.91,98,Moderate,11.2,43.2,0.255,0.0,16.47,37.3
Balochistan,Quetta,2017-06-01,34.94,57.02,14.11,24.22,25.02,8.0,1.1,10.1,53.95,2.89,6.83,3.07,99,Moderate,7.6,58.5,0.101,1.83,16.4,37.5
Balochistan,Quetta,2017-07-01,42.07,65.38,25.28,22.96,46.89,13.65,1.74,13.56,24.5,2.26,2.9,1.17,117,Unhealthy for Sensitive Groups,17.1,86.0,0.235,1.77,16.3,37.3
Balochistan,Quetta,2017-08-01,23.44,89.11,15.63,29.18,47.15,9.43,0.71,8.12,30.99,3.12,4.2,1.15,75,Moderate,11.3,73.2,0.247,3.12,16.77,37.3
Balochistan,Quetta,2017-09-01,73.12,80.57,20.55,26.57,49.85,17.36,2.0,14.52,30.44,0.98,2.27,0.66,160,Unhealthy,12.7,58.8,0.31,3.3,16.49,36.9
Balochistan,Quetta,2017-10-01,89.98,111.97,27.33,63.81,49.91,21.94,2.13,11.84,49.64,3.7,13.51,3.56,169,Unhealthy,5.9,56.5,0.172,0.84,16.36,37.4
Balochistan,Quetta,2017-11-01,103.48,184.3,21.99,51.65,96.81,14.59,4.05,19.91,61.35,2.69,8.58,4.96,176,Unhealthy,5.3,51.5,0.222,1.12,15.99,37.5
Balochistan,Quetta,2017-12-01,125.82,281.3,51.47,40.0,100.36,26.41,3.47,38.36,102.6,6.86,7.54,4.0,187,Unhealthy,4.2,62.1,0.169,0.67,16.57,37.1
Balochistan,Quetta,2018-01-01,94.41,246.55,49.38,52.55,86.59,32.59,1.57,20.4,110.53,6.21,13.84,1.0,171,Unhealthy,3.5,73.5,0.15,2.52,16.58,37.7
Balochistan,Quetta,2018-02-01,103.69,170.59,46.05,69.6,52.92,15.02,1.93,27.96,54.49,2.62,12.32,1.53,176,Unhealthy,9.9,62.3,0.232,1.76,16.88,37.9
Balochistan,Quetta,2018-03-01,75.62,111.71,26.26,56.88,58.91,18.05,2.88,21.35,73.27,3.74,13.35,1.3,161,Unhealthy,13.0,48.1,0.213,4.03,17.08,37.7
Balochistan,Quetta,2018-04-01,51.8,101.88,21.44,28.17,52.97,22.85,1.5,14.78,36.64,1.69,6.49,3.33,141,Unhealthy for Sensitive Groups,5.8,35.7,0.245,0.74,16.51,37.9
Balochistan,Quetta,2018-05-01,46.65,131.06,23.45,17.37,26.15,19.14,1.86,21.75,33.46,3.07,5.8,2.96,128,Unhealthy for Sensitive Groups,9.9,25.6,0.208,1.25,17.03,37.3
Balochistan,Quetta,2018-06-01,55.99,73.01,12.27,37.18,21.02,14.03,1.3,17.82,36.71,1.96,5.56,1.14,151,Unhealthy,12.6,46.2,0.133,1.98,17.02,37.7
Balochistan,Quetta,2018-07-01,44.88,84.92,22.35,35.82,48.38,11.71,1.45,18.58,32.75,1.1,9.27,1.05,124,Unhealthy for Sensitive Groups,8.5,57.2,0.224,1.08,16.33,37.6
Balochistan,Quetta,2018-08-01,53.45,75.4,15.7,29.61,44.99,7.91,0.95,17.3,54.99,1.13,2.07,1.78,145,Unhealthy for Sensitive Groups,5.7,77.8,0.236,2.96,16.49,37.5
Balochistan,Quetta,2018-09-01,52.19,117.52,24.56,20.94,52.88,7.05,1.7,8.38,42.51,0.91,2.68,3.05,142,Unhealthy for Sensitive Groups,4.1,62.0,0.23,1.86,16.55,37.8
Balochistan,Quetta,2018-10-01,82.57,199.59,15.73,45.06,41.3,26.99,3.18,28.7,55.86,3.06,7.45,4.73,165,Unhealthy,7.4,50.4,0.185,2.23,16.96,37.9
Balochistan,Quetta,2018-11-01,90.3,230.69,24.12,45.96,93.97,31.23,4.26,12.56,56.4,5.65,20.25,6.6,169,Unhealthy,3.0,64.3,0.242,4.0,16.76,37.9
Balochistan,Quetta,2018-12-01,99.44,172.96,24.63,36.16,92.21,28.46,1.52,41.69,117.94,3.25,19.9,2.99,174,Unhealthy,2.8,65.1,0.262,1.36,16.8,37.8
Balochistan,Quetta,2019-01-01,101.23,119.94,40.98,41.45,77.9,38.67,2.88,39.56,82.04,2.97,16.32,3.62,175,Unhealthy,3.6,69.2,0.223,1.42,17.27,38.4
Balochistan,Quetta,2019-02-01,60.65,208.96,19.52,71.94,55.91,25.91,2.73,27.72,97.48,5.46,5.47,4.88,154,Unhealthy,5.7,65.1,0.248,1.29,17.26,38.4
Balochistan,Quetta,2019-03-01,70.29,135.62,42.22,46.82,24.58,16.72,1.53,23.86,63.51,2.41,5.62,2.58,159,Unhealthy,10.0,59.1,0.238,1.07,17.13,38.5
Balochistan,Quetta,2019-04-01,78.08,128.95,29.34,24.25,41.0,23.19,2.11,22.68,51.87,3.88,4.38,3.41,163,Unhealthy,8.3,33.2,0.093,1.38,17.68,38.6
Balochistan,Quetta,2019-05-01,47.17,94.68,26.03,44.21,21.88,9.9,1.9,20.05,59.43,1.36,10.27,3.51,130,Unhealthy for Sensitive Groups,5.8,31.3,0.171,0.56,17.08,38.3
Balochistan,Quetta,2019-06-01,45.96,91.78,11.51,21.67,52.78,14.08,0.96,13.03,48.35,2.94,9.11,2.21,127,Unhealthy for Sensitive Groups,14.5,50.7,0.243,2.37,17.0,38.5
Balochistan,Quetta,2019-07-01,56.48,84.23,26.8,40.22,50.17,11.64,1.63,14.86,54.75,2.53,8.36,2.12,152,Unhealthy,17.0,84.1,0.325,2.1,17.04,38.5
Balochistan,Quetta,2019-08-01,52.91,83.94,24.43,32.81,45.78,6.6,1.38,18.18,41.51,1.63,3.76,2.08,144,Unhealthy for Sensitive Groups,12.4,71.7,0.208,2.21,17.08,38.6
Balochistan,Quetta,2019-09-01,77.79,65.36,28.59,40.56,42.12,20.04,1.22,15.81,35.95,1.07,9.05,0.51,163,Unhealthy,7.1,71.4,0.102,1.08,16.95,38.4
Balochistan,Quetta,2019-10-01,59.43,110.93,29.74,43.86,48.9,21.62,3.17,25.18,63.11,1.94,14.21,5.01,153,Unhealthy,6.4,55.9,0.196,1.72,17.56,38.0
Balochistan,Quetta,2019-11-01,125.44,108.48,35.01,97.12,66.15,31.28,3.55,17.82,102.69,5.17,4.87,4.39,187,Unhealthy,6.4,55.6,0.192,0.74,17.63,38.8
Balochistan,Quetta,2019-12-01,76.39,134.58,20.06,95.37,36.11,46.58,2.98,19.89,81.16,6.44,5.48,3.43,162,Unhealthy,3.4,68.4,0.257,3.15,17.65,38.5
Balochistan,Quetta,2020-01-01,58.41,123.79,22.95,80.6,65.54,18.43,2.72,21.18,97.42,3.25,15.14,3.45,153,Unhealthy,6.0,63.0,0.179,-0.27,17.5,39.3
Balochistan,Quetta,2020-02-01,105.1,91.12,22.06,61.89,33.91,27.17,3.73,21.45,53.55,5.56,10.01,3.49,177,Unhealthy,7.9,58.8,0.187,2.19,17.94,39.4
Balochistan,Quetta,2020-03-01,39.57,88.14,11.08,39.73,54.71,8.12,1.53,19.95,52.41,2.6,5.16,1.95,111,Unhealthy for Sensitive Groups,7.3,63.1,0.084,2.27,17.55,38.9
Balochistan,Quetta,2020-04-01,28.19,45.98,22.27,18.1,18.96,6.48,0.97,13.03,18.84,1.15,3.13,1.21,85,Moderate,8.0,35.8,0.116,2.83,18.25,39.5
Balochistan,Quetta,2020-05-01,11.71,60.09,9.4,22.14,28.57,13.16,0.93,8.31,27.25,1.71,2.9,0.5,49,Good,9.4,29.0,0.162,1.75,17.38,39.3
Balochistan,Quetta,2020-06-01,55.21,106.41,20.12,15.57,52.17,16.03,0.97,13.73,52.24,2.87,7.33,1.3,150,Unhealthy for Sensitive Groups,13.6,37.7,0.272,0.78,17.13,39.1
Balochistan,Quetta,2020-07-01,26.87,91.04,17.11,38.91,43.06,19.99,1.81,14.81,54.5,2.08,8.83,1.48,82,Moderate,17.6,81.2,0.311,2.61,17.44,39.2
Balochistan,Quetta,2020-08-01,51.36,102.99,26.98,39.78,34.53,20.28,0.85,7.98,39.06,1.81,5.56,2.16,140,Unhealthy for Sensitive Groups,9.8,69.7,0.239,2.8,17.95,39.2
Balochistan,Quetta,2020-09-01,52.4,138.12,14.99,52.82,51.58,9.62,1.69,17.31,42.56,3.86,3.49,1.49,143,Unhealthy for Sensitive Groups,7.1,58.9,0.132,2.45,17.44,39.0
Balochistan,Quetta,2020-10-01,57.64,125.77,18.85,42.47,77.24,19.98,1.3,12.27,68.84,1.71,4.59,0.88,152,Unhealthy,8.1,49.6,0.231,2.1,17.71,39.2
Balochistan,Quetta,2020-11-01,77.5,230.38,41.78,84.23,85.99,32.39,2.29,16.19,74.33,5.88,13.09,2.96,162,Unhealthy,1.1,50.7,0.14,3.57,17.32,39.4
Balochistan,Quetta,2020-12-01,86.29,247.84,44.1,50.14,98.64,38.82,4.56,35.55,129.82,7.43,10.67,0.78,167,Unhealthy,1.7,73.2,0.282,2.37,17.69,39.5
Balochistan,Quetta,2021-01-01,84.44,175.07,42.52,86.53,53.86,12.99,3.12,31.96,115.68,5.41,17.18,2.2,166,Unhealthy,4.8,67.0,0.107,3.21,18.81,40.0
Balochistan,Quetta,2021-02-01,94.72,122.81,52.11,50.53,29.16,14.19,2.22,26.8,75.55,3.23,17.5,4.96,171,Unhealthy,8.9,67.2,0.201,3.13,18.3,39.7
Balochistan,Quetta,2021-03-01,44.32,177.51,31.78,47.02,43.42,21.45,2.6,9.24,61.66,4.8,13.36,4.3,123,Unhealthy for Sensitive Groups,11.0,51.2,0.199,3.68,18.33,39.9
Balochistan,Quetta,2021-04-01,52.76,121.23,22.42,50.65,23.38,16.35,0.91,8.51,63.33,3.7,9.79,2.48,143,Unhealthy for Sensitive Groups,13.3,42.3,0.242,2.0,18.23,40.1
Balochistan,Quetta,2021-05-01,56.79,100.49,25.57,21.7,46.3,17.91,2.43,15.76,32.35,1.36,9.3,2.24,152,Unhealthy,7.8,33.4,0.148,1.47,18.42,39.9
Balochistan,Quetta,2021-06-01,55.51,125.79,9.9,32.02,29.93,13.93,1.35,18.45,38.73,3.89,2.94,0.79,151,Unhealthy,10.9,35.3,0.185,3.01,18.15,39.8
Balochistan,Quetta,2021-07-01,36.01,104.32,26.34,16.57,31.14,6.42,1.61,17.09,21.67,2.24,8.13,1.59,102,Unhealthy for Sensitive Groups,6.9,81.6,0.235,1.21,18.2,39.4
Balochistan,Quetta,2021-08-01,55.08,57.18,8.86,16.03,23.93,8.21,1.87,12.17,44.79,1.67,6.0,1.7,149,Unhealthy for Sensitive Groups,11.8,81.0,0.288,1.63,17.88,40.0
Balochistan,Quetta,2021-09-01,46.69,75.85,32.77,50.56,42.33,10.53,1.27,9.01,41.36,3.92,11.09,3.08,129,Unhealthy for Sensitive Groups,5.0,63.3,0.199,1.73,18.19,39.9
Balochistan,Quetta,2021-10-01,62.89,141.23,33.21,50.06,81.13,16.84,3.01,14.22,75.65,1.79,13.92,1.71,155,Unhealthy,3.5,55.5,0.169,1.92,18.52,40.0
Balochistan,Quetta,2021-11-01,88.81,188.45,33.21,72.52,60.76,31.54,1.95,20.9,115.01,3.67,20.33,5.67,168,Unhealthy,4.9,47.6,0.119,1.03,18.12,39.7
Balochistan,Quetta,2021-12-01,144.35,190.05,19.84,98.29,80.66,15.1,3.47,42.23,64.13,8.58,16.69,6.55,197,Unhealthy,4.0,63.8,0.237,3.33,18.2,39.9
Balochistan,Quetta,2022-01-01,107.76,198.87,19.46,38.15,31.37,25.87,3.14,13.05,109.39,3.51,4.99,1.76,178,Unhealthy,2.4,73.9,0.231,3.18,18.51,40.6
Balochistan,Quetta,2022-02-01,72.82,140.87,44.38,50.77,78.38,20.84,1.17,25.82,55.77,3.73,5.38,3.76,160,Unhealthy,3.7,45.3,0.216,0.86,18.47,40.9
Balochistan,Quetta,2022-03-01,75.28,144.93,31.92,29.61,66.8,11.89,1.16,26.56,72.23,3.98,12.67,1.45,161,Unhealthy,5.4,50.8,0.204,2.34,18.41,40.6
Balochistan,Quetta,2022-04-01,62.24,99.69,31.91,44.84,24.11,24.69,2.15,9.61,62.8,2.77,3.02,0.95,154,Unhealthy,8.1,37.5,0.164,1.27,18.62,40.5
Balochistan,Quetta,2022-05-01,76.74,94.17,14.18,33.94,16.24,9.33,2.25,16.65,34.47,1.22,10.39,3.13,162,Unhealthy,16.1,31.9,0.215,3.24,18.66,40.7
Balochistan,Quetta,2022-06-01,36.11,90.08,12.54,51.33,27.56,7.67,1.34,9.28,45.92,1.38,5.4,2.2,103,Unhealthy for Sensitive Groups,12.5,43.7,0.225,1.34,18.75,40.5
Balochistan,Quetta,2022-07-01,26.99,122.48,10.04,32.61,45.44,17.83,1.08,6.53,33.41,2.1,4.39,0.98,82,Moderate,13.3,83.8,0.213,2.04,19.06,40.7
Balochistan,Quetta,2022-08-01,29.13,80.93,17.81,24.6,24.75,17.79,1.53,7.32,26.23,1.1,8.5,1.74,87,Moderate,14.5,88.0,0.245,2.06,18.95,40.9
Balochistan,Quetta,2022-09-01,37.47,136.35,34.4,33.07,34.46,21.26,1.68,9.1,58.74,4.8,11.21,2.53,106,Unhealthy for Sensitive Groups,11.8,50.8,0.244,1.47,18.13,40.7
Balochistan,Quetta,2022-10-01,70.6,164.58,11.18,47.47,59.43,11.24,3.12,10.68,80.04,6.31,8.17,1.37,159,Unhealthy,1.8,44.8,0.191,1.85,18.8,40.6
Balochistan,Quetta,2022-11-01,137.63,214.06,54.6,74.1,87.84,16.18,2.29,41.38,54.13,7.16,7.53,1.41,193,Unhealthy,2.9,65.5,0.194,1.49,18.77,40.3
Balochistan,Quetta,2022-12-01,123.85,300.34,19.83,44.09,104.46,40.37,1.87,18.37,98.1,3.66,9.41,5.86,186,Unhealthy,4.9,69.7,0.187,1.58,18.35,40.6
Balochistan,Quetta,2023-01-01,66.28,198.63,54.66,83.54,64.41,35.3,1.28,20.64,80.4,3.21,12.17,2.86,157,Unhealthy,7.5,58.3,0.27,2.84,19.0,41.2
Balochistan,Quetta,2023-02-01,81.55,139.75,45.81,44.69,79.5,11.88,2.0,21.15,48.4,5.17,14.41,3.64,164,Unhealthy,9.5,64.1,0.17,2.69,18.81,40.8
Balochistan,Quetta,2023-03-01,39.07,179.64,22.16,59.04,36.38,24.08,0.97,20.74,44.05,5.25,7.06,3.75,110,Unhealthy for Sensitive Groups,10.5,60.6,0.297,3.18,19.29,41.3
Balochistan,Quetta,2023-04-01,63.88,128.63,11.13,27.68,34.19,10.18,1.63,16.39,48.06,2.46,7.94,1.16,155,Unhealthy,12.1,34.4,0.161,2.57,18.94,41.4
Balochistan,Quetta,2023-05-01,62.71,61.46,13.99,44.24,43.14,20.79,0.72,19.23,63.07,4.16,11.14,3.55,155,Unhealthy,14.9,32.8,0.186,2.45,18.96,41.5
Balochistan,Quetta,2023-06-01,21.46,131.56,22.47,19.59,39.92,17.23,1.88,12.11,35.11,2.0,10.43,2.89,71,Moderate,10.3,57.6,0.211,1.46,19.0,41.2
Balochistan,Quetta,2023-07-01,32.2,133.37,12.79,24.91,42.46,12.07,0.69,7.18,31.07,0.74,6.23,1.24,93,Moderate,7.9,74.8,0.274,3.4,18.89,41.5
Balochistan,Quetta,2023-08-01,32.97,74.69,9.46,26.11,11.26,18.27,1.05,14.62,49.34,0.86,1.47,1.52,95,Moderate,5.1,61.6,0.179,0.84,19.01,41.1
Balochistan,Quetta,2023-09-01,42.51,68.15,23.86,28.9,38.56,12.82,1.16,12.16,50.72,3.18,9.89,2.05,118,Unhealthy for Sensitive Groups,5.3,72.7,0.07,1.19,18.64,41.3
Balochistan,Quetta,2023-10-01,113.93,156.28,23.26,27.45,73.17,10.52,2.07,24.51,41.99,1.94,16.25,2.8,181,Unhealthy,8.8,46.2,0.188,3.93,18.99,41.1
Balochistan,Quetta,2023-11-01,64.54,269.28,54.69,73.11,75.57,18.18,2.59,24.39,74.3,4.11,16.8,2.73,156,Unhealthy,4.4,61.9,0.16,3.47,18.61,40.9
Balochistan,Quetta,2023-12-01,119.97,241.88,27.88,86.68,36.84,36.74,2.61,37.65,115.65,6.43,8.34,4.49,184,Unhealthy,3.1,58.1,0.215,1.65,18.78,41.8
Balochistan,Quetta,2024-01-01,89.58,184.21,47.8,88.55,49.28,28.39,3.36,28.39,99.51,2.84,6.73,5.01,169,Unhealthy,6.7,58.8,0.205,3.01,19.37,42.4
Balochistan,Quetta,2024-02-01,57.8,211.47,31.08,46.82,61.64,28.0,3.37,15.88,73.43,1.96,11.28,4.74,152,Unhealthy,11.1,55.6,0.179,1.49,19.45,41.8
Balochistan,Quetta,2024-03-01,58.85,141.52,36.0,52.29,70.0,25.8,0.94,23.94,47.71,2.81,10.9,3.96,153,Unhealthy,7.5,37.6,0.147,2.13,19.84,42.0
Balochistan,Quetta,2024-04-01,73.06,69.92,18.48,40.17,40.01,19.89,0.83,18.9,59.04,2.44,5.44,3.72,160,Unhealthy,13.8,49.7,0.305,1.47,19.37,41.8
Balochistan,Quetta,2024-05-01,60.87,104.77,27.35,45.04,39.57,12.0,1.25,19.1,44.15,1.74,4.19,3.47,154,Unhealthy,11.6,36.1,0.16,3.19,19.46,42.0
Balochistan,Quetta,2024-06-01,59.45,115.22,11.77,30.81,22.15,12.13,1.45,8.21,37.12,2.98,3.41,1.72,153,Unhealthy,9.8,38.3,0.185,1.4,19.41,42.0
Balochistan,Quetta,2024-07-01,53.85,126.65,5.58,26.34,17.37,18.71,1.13,13.17,24.43,2.06,4.95,3.04,146,Unhealthy for Sensitive Groups,9.1,54.5,0.236,3.4,19.67,41.9
Balochistan,Quetta,2024-08-01,63.83,91.21,9.68,36.3,27.76,14.54,0.83,13.4,48.96,1.84,8.4,1.71,155,Unhealthy,11.5,67.5,0.184,1.53,19.15,42.0
Balochistan,Quetta,2024-09-01,56.72,125.65,23.73,49.57,42.96,13.94,0.75,13.02,52.06,1.63,2.9,2.09,152,Unhealthy,8.6,68.7,0.16,2.21,19.61,42.2
Balochistan,Quetta,2024-10-01,87.69,140.67,25.82,66.01,41.39,22.12,1.25,23.45,48.03,4.96,10.62,2.36,168,Unhealthy,4.9,43.1,0.148,2.04,19.23,41.9
Balochistan,Quetta,2024-11-01,85.35,174.45,20.02,73.93,89.27,39.3,3.09,27.0,55.13,3.62,7.47,5.7,166,Unhealthy,5.9,50.5,0.199,0.53,19.02,41.9
Balochistan,Quetta,2024-12-01,97.19,286.37,26.86,79.91,118.33,20.51,2.53,19.59,71.42,6.83,11.07,7.2,173,Unhealthy,2.7,61.3,0.167,3.88,19.44,42.1
Balochistan,Quetta,2025-01-01,84.38,164.61,15.87,67.97,88.01,38.73,2.88,18.65,109.8,3.83,12.78,3.15,166,Unhealthy,7.6,58.5,0.18,0.96,19.51,42.6
Balochistan,Quetta,2025-02-01,91.75,126.21,44.62,47.33,57.65,32.84,1.71,15.83,68.66,1.89,14.37,3.24,170,Unhealthy,10.1,65.6,0.179,4.05,19.51,42.9
Balochistan,Quetta,2025-03-01,69.51,68.36,19.89,53.76,49.23,25.88,0.93,27.32,52.97,1.26,10.21,2.13,158,Unhealthy,12.0,42.7,0.231,1.83,20.31,42.5
Balochistan,Quetta,2025-04-01,77.13,82.66,13.85,22.67,46.36,19.36,1.56,10.21,31.75,3.09,4.34,0.74,162,Unhealthy,6.7,46.3,0.206,1.99,19.53,42.4
Balochistan,Quetta,2025-05-01,34.07,127.43,25.26,47.72,37.21,16.18,1.44,15.26,43.96,3.11,8.84,2.8,97,Moderate,12.3,38.4,0.241,2.43,20.47,42.7
Balochistan,Quetta,2025-06-01,62.32,59.71,27.62,31.64,31.61,15.28,1.11,11.05,32.62,0.82,4.32,1.93,155,Unhealthy,11.1,55.7,0.24,0.86,19.92,42.6
Balochistan,Quetta,2025-07-01,16.36,44.8,22.13,24.47,22.03,10.77,1.61,17.06,38.64,2.52,7.8,0.61,60,Moderate,10.3,75.9,0.21,3.08,20.46,42.8
Balochistan,Quetta,2025-08-01,44.88,48.95,22.81,31.54,37.71,9.48,1.68,12.77,43.5,1.56,7.33,2.26,124,Unhealthy for Sensitive Groups,10.3,81.6,0.239,1.25,20.22,42.6
Balochistan,Quetta,2025-09-01,41.2,61.98,10.36,21.77,52.75,16.59,1.11,9.27,55.45,4.13,9.77,2.36,115,Unhealthy for Sensitive Groups,6.6,56.6,0.202,1.39,19.91,43.0
Balochistan,Quetta,2025-10-01,109.02,103.91,33.57,48.49,55.64,14.56,2.8,17.27,86.88,2.49,7.23,2.87,179,Unhealthy,3.4,47.4,0.18,0.88,19.96,42.5
Balochistan,Quetta,2025-11-01,46.71,131.03,44.76,70.53,91.73,23.38,3.87,41.94,75.27,4.03,10.95,1.48,129,Unhealthy for Sensitive Groups,2.1,48.4,0.117,2.09,20.14,42.5
Balochistan,Quetta,2025-12-01,66.87,250.99,29.24,36.99,60.03,26.01,3.5,35.74,111.6,2.88,15.18,7.2,157,Unhealthy,4.3,79.4,0.166,2.78,19.87,42.7
Balochistan,Sibi,2014-01-01,103.19,289.85,49.09,38.67,104.51,24.68,3.54,27.39,89.43,8.15,18.48,3.89,176,Unhealthy,7.6,68.3,0.212,0.06,14.55,34.6
Balochistan,Sibi,2014-02-01,77.86,91.9,22.84,48.75,32.76,23.01,3.88,30.21,73.53,6.37,14.03,4.37,163,Unhealthy,9.7,49.1,0.204,2.84,15.04,34.9
Balochistan,Sibi,2014-03-01,98.88,130.96,30.0,31.43,74.15,15.48,2.46,16.21,63.78,2.91,14.62,2.44,173,Unhealthy,4.6,37.4,0.199,2.54,15.02,35.3
Balochistan,Sibi,2014-04-01,69.73,174.51,29.85,38.65,43.62,22.59,1.99,15.97,42.94,1.82,7.49,2.75,158,Unhealthy,6.5,53.8,0.253,2.05,14.7,35.0
Balochistan,Sibi,2014-05-01,71.45,92.49,36.39,55.73,26.22,21.68,1.18,8.79,62.26,1.15,9.3,2.89,159,Unhealthy,15.7,27.3,0.177,3.56,15.25,35.0
Balochistan,Sibi,2014-06-01,64.31,93.94,16.35,27.66,39.19,23.93,0.91,9.24,47.43,4.2,3.7,0.45,156,Unhealthy,10.7,48.2,0.187,0.62,14.84,34.8
Balochistan,Sibi,2014-07-01,52.69,121.32,16.97,33.56,27.73,14.41,2.12,18.32,29.49,2.03,9.0,3.48,143,Unhealthy for Sensitive Groups,18.0,58.7,0.301,3.0,15.58,35.1
Balochistan,Sibi,2014-08-01,44.19,65.2,19.35,45.44,41.8,8.96,1.21,12.22,64.37,4.0,4.17,1.06,122,Unhealthy for Sensitive Groups,9.1,72.0,0.19,0.96,14.6,34.8
Balochistan,Sibi,2014-09-01,90.0,61.85,16.55,57.46,33.49,19.22,2.65,25.1,44.78,3.41,5.01,1.08,169,Unhealthy,6.4,67.0,0.216,1.18,15.23,35.1
Balochistan,Sibi,2014-10-01,47.75,153.41,30.43,62.39,83.5,23.8,1.87,36.0,81.78,3.12,17.55,5.2,131,Unhealthy for Sensitive Groups,4.2,62.9,0.19,2.92,15.25,35.0
Balochistan,Sibi,2014-11-01,169.09,206.58,60.34,102.32,50.23,32.76,2.56,23.9,66.84,6.01,10.27,1.68,219,Very Unhealthy,3.4,43.7,0.204,3.87,15.15,35.0
Balochistan,Sibi,2014-12-01,99.9,330.56,40.84,61.75,86.19,53.17,2.39,28.07,135.73,2.13,12.44,1.15,174,Unhealthy,2.6,67.9,0.203,1.34,14.85,34.9
Balochistan,Sibi,2015-01-01,79.45,313.14,60.25,55.73,111.83,45.98,2.15,39.09,84.44,8.81,4.69,3.13,163,Unhealthy,5.4,69.5,0.129,1.6,15.72,35.6
Balochistan,Sibi,2015-02-01,64.95,126.28,50.88,37.86,45.9,15.67,1.5,39.69,57.28,7.99,11.81,2.96,156,Unhealthy,9.6,51.0,0.248,2.68,15.62,35.8
Balochistan,Sibi,2015-03-01,102.56,151.08,30.68,43.58,83.67,15.63,1.87,17.36,74.33,3.03,11.03,0.85,175,Unhealthy,12.4,52.5,0.165,1.43,15.9,35.8
Balochistan,Sibi,2015-04-01,90.86,109.63,35.87,54.85,64.23,18.0,1.98,25.54,59.99,2.21,3.48,2.27,169,Unhealthy,6.9,38.2,0.197,3.47,15.42,35.5
Balochistan,Sibi,2015-05-01,86.8,125.28,14.33,38.75,16.54,17.62,1.22,24.55,73.29,2.44,7.76,1.29,167,Unhealthy,12.8,37.6,0.206,3.38,15.76,35.7
Balochistan,Sibi,2015-06-01,50.9,128.22,11.38,27.45,34.07,24.15,1.73,18.06,58.02,1.71,4.33,2.46,139,Unhealthy for Sensitive Groups,16.7,39.9,0.233,2.8,14.99,35.8
Balochistan,Sibi,2015-07-01,22.73,47.26,29.96,30.34,21.9,22.17,2.51,7.7,34.53,4.01,3.97,0.97,73,Moderate,8.5,56.7,0.174,-0.1,15.66,35.7
Balochistan,Sibi,2015-08-01,29.95,115.89,19.6,16.09,23.11,14.97,1.31,14.59,35.24,4.78,3.44,2.04,89,Moderate,9.3,74.9,0.158,3.68,15.65,35.6
Balochistan,Sibi,2015-09-01,81.89,152.47,29.5,41.28,59.34,15.77,1.4,17.28,48.52,4.28,3.69,1.7,165,Unhealthy,6.3,77.0,0.259,2.32,15.48,35.5
