Federal_District,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Far Eastern,Yuzhno-Sakhalinsk,2022-07-01,8.2,11.96,1.0,3.98,2.0,0.5,0.09,,33.76,0.23,0.05,0.01,34.0,Good,11.0,63.4,1.224,2.75,62.77,1.0
Far Eastern,Yuzhno-Sakhalinsk,2022-08-01,15.18,17.85,3.04,5.85,10.45,1.15,0.21,5.18,45.36,0.16,0.05,0.34,57.0,Moderate,8.6,81.4,1.096,1.7,64.98,1.0
Far Eastern,Yuzhno-Sakhalinsk,2022-09-01,6.68,8.7,1.0,2.0,3.47,0.5,0.38,1.43,35.99,0.19,1.02,0.21,28.0,Good,9.1,85.2,1.031,0.77,63.18,1.0
Far Eastern,Yuzhno-Sakhalinsk,2022-10-01,9.23,8.9,5.02,2.83,2.0,2.34,0.43,3.96,58.69,0.19,0.15,0.33,38.0,Good,13.4,79.3,1.128,-0.55,61.8,1.0
Far Eastern,Yuzhno-Sakhalinsk,2022-11-01,10.93,15.07,1.0,8.42,15.02,0.82,0.11,1.0,,,1.2,0.29,46.0,Good,10.2,88.9,1.167,0.66,62.33,1.0
Far Eastern,Yuzhno-Sakhalinsk,2022-12-01,5.72,16.6,2.97,14.33,24.32,0.55,0.64,3.77,74.76,0.43,2.26,0.77,24.0,Good,11.3,86.4,1.21,-2.13,61.94,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-01-01,13.86,18.66,6.46,7.92,13.11,4.21,0.42,7.88,87.3,0.35,0.05,0.6,55.0,Moderate,8.7,82.6,1.262,0.72,63.14,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-02-01,5.62,22.46,3.07,7.78,2.49,2.77,,3.49,28.06,0.3,1.23,0.56,23.0,Good,10.9,78.5,1.202,3.84,61.02,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-03-01,5.86,23.12,4.48,5.97,7.39,2.06,0.21,3.17,41.95,0.12,0.29,0.22,24.0,Good,12.4,75.1,1.363,2.3,62.81,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-04-01,5.02,14.04,1.09,6.35,12.97,0.82,0.16,3.34,29.48,0.25,,0.54,21.0,Good,10.2,64.9,1.196,2.28,61.38,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-05-01,10.21,6.47,4.81,2.0,11.34,2.86,0.25,1.97,31.15,0.17,1.05,0.28,43.0,Good,4.2,62.6,1.185,1.6,61.28,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-06-01,5.4,5.0,1.0,3.1,14.76,1.13,0.38,1.0,33.28,0.22,0.84,0.27,22.0,Good,12.5,74.4,1.126,1.88,62.77,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-07-01,35.49,27.75,2.89,7.85,3.15,2.4,0.88,,23.8,0.4,0.05,0.13,101.0,Unhealthy for Sensitive Groups,9.1,72.7,1.217,2.04,62.75,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-08-01,28.11,38.42,2.94,4.34,6.67,0.5,0.66,1.0,27.85,0.21,0.5,0.27,85.0,Moderate,4.2,77.4,1.351,1.84,64.37,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-09-01,5.7,6.93,5.49,7.07,3.98,1.91,0.12,3.33,27.15,0.06,1.18,0.19,24.0,Good,12.2,78.6,1.284,2.03,63.76,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-10-01,10.6,8.76,1.0,5.61,8.79,0.88,0.32,2.01,41.91,0.28,1.41,0.45,44.0,Good,15.1,82.1,1.499,0.02,65.34,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-11-01,7.44,22.46,3.93,10.12,18.71,3.0,,4.89,58.37,0.03,1.31,0.27,31.0,Good,7.3,91.5,1.202,0.49,61.53,1.0
Far Eastern,Yuzhno-Sakhalinsk,2023-12-01,14.44,22.35,4.62,6.32,2.0,1.22,0.1,3.04,,0.25,,0.5,56.0,Moderate,5.8,92.7,1.262,-0.08,64.31,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-01-01,14.36,17.77,6.5,2.43,19.57,4.81,0.36,5.06,62.61,0.16,0.65,0.43,56.0,Moderate,5.1,80.5,1.133,0.12,62.67,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-02-01,18.96,16.27,12.48,10.4,8.5,4.31,0.09,,59.3,0.54,,0.69,65.0,Moderate,9.0,78.5,1.063,1.39,61.92,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-03-01,3.14,10.93,2.51,4.51,8.87,2.72,0.3,1.8,64.0,0.62,1.25,0.22,13.0,Good,11.2,66.6,1.162,-0.69,63.62,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-04-01,5.66,17.89,1.0,3.29,13.41,1.87,0.35,4.77,20.45,0.42,0.81,0.38,24.0,Good,14.2,64.4,1.283,-0.46,63.82,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-05-01,7.4,5.08,1.93,2.51,2.0,0.88,0.43,2.33,32.68,0.04,1.75,0.29,31.0,Good,14.1,61.4,1.168,3.03,62.25,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-06-01,7.24,6.93,1.0,6.25,9.65,2.03,0.05,4.51,28.06,0.03,0.54,0.01,30.0,Good,9.4,67.5,1.246,1.72,62.61,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-07-01,18.53,16.77,3.19,3.66,8.78,1.44,0.67,3.9,24.75,0.27,0.77,0.04,65.0,Moderate,8.5,68.2,1.286,2.61,64.87,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-08-01,16.2,26.22,3.91,2.63,2.0,0.5,0.59,1.0,14.89,0.17,0.76,0.45,60.0,Moderate,8.7,68.1,1.358,-0.51,61.23,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-09-01,5.87,17.52,5.78,4.65,4.03,4.0,,2.96,48.42,0.41,1.07,0.28,24.0,Good,8.4,76.1,1.289,0.58,64.63,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-10-01,6.99,7.28,8.35,7.24,9.32,1.34,0.51,3.57,46.71,0.24,0.95,0.38,29.0,Good,14.2,84.7,1.358,2.2,62.3,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-11-01,6.86,18.03,4.8,4.95,15.23,4.38,0.16,1.08,39.08,0.59,0.7,0.03,29.0,Good,11.2,81.9,1.141,3.5,65.09,1.0
Far Eastern,Yuzhno-Sakhalinsk,2024-12-01,8.31,20.63,4.79,10.15,10.26,4.25,0.75,1.0,57.39,0.25,1.68,0.59,35.0,Good,10.2,91.6,1.253,-1.25,61.12,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-01-01,17.01,13.44,4.69,7.23,14.11,,0.54,13.32,51.69,0.34,1.19,0.19,61.0,Moderate,6.5,76.8,0.926,1.63,64.03,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-02-01,,19.55,5.21,13.43,8.98,4.58,0.34,5.45,62.29,0.56,0.77,0.69,,,2.7,70.9,1.142,2.39,64.65,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-03-01,3.45,18.39,1.0,5.72,12.03,3.12,0.4,,47.91,0.06,1.54,0.31,14.0,Good,7.5,76.3,1.142,2.68,64.97,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-04-01,2.23,14.3,1.0,8.96,8.43,1.47,0.1,6.37,43.48,0.3,0.05,0.29,9.0,Good,17.1,65.0,1.158,2.55,63.69,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-05-01,6.53,5.0,1.0,2.0,,0.5,0.14,2.94,38.37,0.19,0.94,0.34,27.0,Good,6.5,60.7,1.357,3.66,62.02,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-06-01,3.35,5.0,1.35,6.76,,0.5,0.25,2.51,26.16,0.12,0.06,0.12,14.0,Good,8.5,56.5,1.197,-0.69,62.53,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-07-01,12.95,14.32,3.91,5.46,8.73,0.5,0.43,1.27,30.15,0.32,0.6,0.37,53.0,Moderate,6.7,58.1,1.244,2.6,65.14,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-08-01,2.62,20.59,3.55,6.97,14.07,0.85,0.28,2.86,39.74,0.31,0.31,0.51,11.0,Good,12.7,65.0,1.215,2.89,65.51,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-09-01,4.85,5.0,3.93,3.54,,0.5,0.27,,54.55,0.26,1.81,0.34,20.0,Good,6.8,73.6,1.326,0.24,64.62,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-10-01,2.65,11.2,1.89,4.24,8.71,0.5,0.38,3.76,25.15,0.26,,0.23,11.0,Good,6.0,89.6,1.098,1.65,63.52,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-11-01,7.58,11.76,1.64,10.2,10.52,2.64,0.42,1.17,28.33,0.47,0.05,0.41,32.0,Good,7.7,89.2,1.024,1.07,62.58,1.0
Far Eastern,Yuzhno-Sakhalinsk,2025-12-01,6.94,18.4,5.07,4.98,26.91,3.02,0.36,6.79,28.94,0.51,1.94,0.88,29.0,Good,12.1,92.1,1.225,2.57,64.42,1.0
North Caucasian,Grozny,2014-01-01,20.03,30.32,15.3,33.62,45.17,11.7,1.32,15.59,102.17,0.6,4.02,0.22,68.0,Moderate,6.5,78.3,0.183,1.14,30.0,55.1
North Caucasian,Grozny,2014-02-01,21.19,28.95,9.23,20.45,42.81,8.75,0.74,7.41,46.56,1.64,4.15,0.28,70.0,Moderate,4.5,74.3,0.227,2.23,30.09,55.0
North Caucasian,Grozny,2014-03-01,16.0,31.08,4.58,16.19,22.81,7.3,0.54,7.04,77.33,1.57,2.23,0.8,59.0,Moderate,18.1,72.0,0.0,0.43,29.64,55.2
North Caucasian,Grozny,2014-04-01,20.16,35.53,11.95,19.18,27.53,5.68,0.58,6.84,45.46,0.64,3.54,0.68,68.0,Moderate,4.7,70.0,0.123,-0.74,29.86,55.1
North Caucasian,Grozny,2014-05-01,12.81,15.7,6.19,7.14,9.57,,0.42,1.69,41.77,1.11,0.17,0.76,52.0,Moderate,6.5,58.4,0.08,-3.15,29.88,55.1
North Caucasian,Grozny,2014-06-01,10.2,27.61,,12.64,17.63,2.0,0.87,5.6,42.15,1.17,2.87,0.48,43.0,Good,5.7,64.5,0.137,-0.83,30.13,55.2
North Caucasian,Grozny,2014-07-01,16.07,21.18,15.32,16.83,12.58,1.98,0.87,6.39,55.59,1.01,1.04,0.94,59.0,Moderate,6.0,60.6,0.0,0.61,29.4,55.0
North Caucasian,Grozny,2014-08-01,10.53,30.24,9.7,11.42,17.38,0.79,0.63,8.45,27.44,0.84,2.56,0.59,44.0,Good,12.9,72.1,0.149,1.2,30.01,54.9
North Caucasian,Grozny,2014-09-01,6.77,18.73,10.19,13.31,27.81,4.54,0.54,6.44,65.99,0.74,2.36,0.44,28.0,Good,9.5,75.2,0.181,0.5,29.26,55.0
North Caucasian,Grozny,2014-10-01,11.03,10.89,18.53,,32.79,6.34,0.48,6.23,63.37,0.75,2.73,0.48,46.0,Good,6.7,83.6,0.031,-2.35,29.87,54.9
North Caucasian,Grozny,2014-11-01,10.78,24.44,8.53,21.08,15.45,6.91,0.81,1.85,64.8,0.81,4.46,0.88,45.0,Good,7.5,92.0,0.315,0.65,29.44,55.0
North Caucasian,Grozny,2014-12-01,12.15,35.76,22.26,20.39,39.72,10.1,0.92,14.81,129.58,0.81,7.13,1.05,51.0,Moderate,4.9,96.1,0.031,-1.3,29.95,54.9
North Caucasian,Grozny,2015-01-01,14.89,50.85,14.01,35.32,30.4,3.92,1.39,14.39,94.09,1.47,6.21,0.78,57.0,Moderate,8.0,85.2,0.145,-0.57,30.37,54.8
North Caucasian,Grozny,2015-02-01,14.51,44.72,14.13,17.81,28.25,5.23,0.45,13.72,115.29,0.9,1.88,1.15,56.0,Moderate,10.0,80.9,0.158,-0.44,30.0,55.1
North Caucasian,Grozny,2015-03-01,17.09,33.65,7.04,11.02,24.35,4.34,0.61,4.27,63.75,1.39,2.21,0.68,61.0,Moderate,10.2,68.5,0.0,-1.09,30.3,54.9
North Caucasian,Grozny,2015-04-01,12.63,20.49,7.86,16.9,17.96,2.91,0.87,10.1,67.63,1.49,2.02,0.37,52.0,Moderate,11.1,56.0,0.053,0.82,29.58,55.0
North Caucasian,Grozny,2015-05-01,17.6,16.32,8.9,11.84,16.19,7.2,0.69,5.6,48.29,1.16,0.92,0.47,63.0,Moderate,5.8,65.0,0.106,1.6,30.75,54.9
North Caucasian,Grozny,2015-06-01,12.7,20.69,9.14,15.84,23.4,3.43,0.47,6.57,43.91,1.15,2.82,0.4,52.0,Moderate,6.8,66.7,0.0,1.45,30.8,55.1
North Caucasian,Grozny,2015-07-01,18.83,,12.37,11.02,16.44,2.65,0.4,6.91,34.5,1.25,2.41,0.49,65.0,Moderate,12.0,74.3,0.084,3.17,30.18,54.9
North Caucasian,Grozny,2015-08-01,10.31,24.65,11.22,9.64,7.79,3.67,0.39,4.1,55.12,0.95,2.44,0.12,43.0,Good,11.2,75.1,0.086,-0.63,30.76,55.1
North Caucasian,Grozny,2015-09-01,7.5,33.06,1.0,9.82,10.73,2.85,0.29,9.51,28.67,0.73,1.47,0.49,31.0,Good,5.7,81.5,0.159,1.45,30.64,54.9
North Caucasian,Grozny,2015-10-01,13.38,31.34,5.85,28.6,35.27,6.25,1.25,6.56,49.88,1.39,2.38,0.31,54.0,Moderate,10.9,74.9,0.154,-0.04,29.46,55.0
North Caucasian,Grozny,2015-11-01,20.16,21.19,14.6,22.03,27.86,10.03,0.69,7.33,99.69,1.47,3.17,0.72,68.0,Moderate,14.9,88.9,0.098,-0.32,31.28,55.2
North Caucasian,Grozny,2015-12-01,28.76,,14.02,14.73,39.47,6.76,0.9,7.32,95.22,1.76,3.92,0.3,86.0,Moderate,5.6,91.4,0.127,1.81,29.95,54.9
North Caucasian,Grozny,2016-01-01,26.13,29.02,18.61,36.84,38.26,5.69,1.12,10.81,114.35,2.24,3.81,,80.0,Moderate,10.1,83.1,0.175,0.86,30.04,55.0
North Caucasian,Grozny,2016-02-01,24.5,32.83,14.51,32.7,30.66,,0.42,10.94,69.71,1.56,2.87,0.64,77.0,Moderate,11.7,77.6,0.0,0.54,31.41,54.9
North Caucasian,Grozny,2016-03-01,20.83,39.23,3.33,17.42,31.62,3.34,0.96,4.94,59.43,1.51,0.74,0.49,69.0,Moderate,6.1,71.8,0.0,1.64,30.75,55.0
North Caucasian,Grozny,2016-04-01,14.23,25.43,5.13,11.24,12.5,6.87,0.4,4.32,45.66,0.29,2.59,0.39,55.0,Moderate,9.3,56.6,0.071,2.21,30.04,54.9
North Caucasian,Grozny,2016-05-01,13.91,22.58,5.23,4.47,10.65,4.32,0.49,3.98,29.05,0.04,0.05,0.12,55.0,Moderate,8.3,58.1,0.017,2.85,29.67,54.8
North Caucasian,Grozny,2016-06-01,6.66,21.21,9.72,13.39,18.74,,0.18,2.49,36.46,,2.19,0.33,28.0,Good,11.4,68.1,0.163,1.76,30.78,54.8
North Caucasian,Grozny,2016-07-01,16.49,28.19,8.44,5.73,9.39,3.24,0.41,6.67,49.61,0.62,2.32,0.01,60.0,Moderate,6.6,74.4,0.234,4.61,31.1,54.9
North Caucasian,Grozny,2016-08-01,17.67,17.51,5.77,17.51,12.56,2.54,0.46,1.7,35.86,1.13,0.67,0.92,63.0,Moderate,2.6,82.7,0.221,2.03,31.02,54.9
North Caucasian,Grozny,2016-09-01,12.83,36.81,14.98,10.66,27.58,4.36,0.34,4.87,51.81,1.19,,0.45,53.0,Moderate,10.8,72.9,0.139,-1.54,31.2,54.9
North Caucasian,Grozny,2016-10-01,21.58,35.74,10.07,20.65,16.11,7.23,,,57.1,0.75,3.57,1.13,71.0,Moderate,11.9,88.7,0.029,-0.08,30.37,54.8
North Caucasian,Grozny,2016-11-01,29.69,50.51,,34.02,23.25,3.2,0.95,7.09,74.49,0.79,4.68,0.5,88.0,Moderate,8.1,82.4,0.092,2.74,30.23,55.0
North Caucasian,Grozny,2016-12-01,13.33,36.61,11.62,27.06,,12.46,,12.33,,2.23,4.25,0.37,54.0,Moderate,11.7,85.3,0.022,1.12,30.3,55.1
North Caucasian,Grozny,2017-01-01,31.14,58.25,14.06,34.56,34.43,6.2,1.23,7.98,118.43,,6.05,0.75,91.0,Moderate,11.0,84.0,0.116,2.05,29.95,54.7
North Caucasian,Grozny,2017-02-01,27.68,54.07,17.61,32.37,24.64,7.25,0.54,8.1,113.61,1.67,3.44,0.69,84.0,Moderate,4.9,80.2,0.15,1.35,29.51,54.9
North Caucasian,Grozny,2017-03-01,25.49,23.68,10.37,19.95,12.93,7.16,0.38,3.87,91.48,1.1,4.26,0.74,79.0,Moderate,11.0,71.5,0.194,0.62,29.83,54.8
North Caucasian,Grozny,2017-04-01,11.25,18.3,6.03,17.94,27.35,3.1,0.52,3.38,35.1,0.79,3.05,0.25,47.0,Good,10.0,61.2,0.131,-2.08,29.85,54.8
North Caucasian,Grozny,2017-05-01,19.72,12.74,11.6,11.87,5.94,6.2,0.25,5.48,40.09,0.17,0.05,0.21,67.0,Moderate,8.9,55.8,0.018,-0.27,29.97,54.8
North Caucasian,Grozny,2017-06-01,8.66,24.53,6.14,18.73,13.46,3.78,0.83,5.55,45.46,0.89,1.09,0.34,36.0,Good,11.1,54.9,0.031,-1.93,28.49,54.8
North Caucasian,Grozny,2017-07-01,15.53,8.67,10.0,15.28,7.65,4.52,0.78,,57.7,1.06,1.17,0.21,58.0,Moderate,7.1,59.3,0.0,3.52,29.91,54.7
North Caucasian,Grozny,2017-08-01,11.86,19.65,9.26,14.69,15.22,4.59,0.75,2.02,34.28,0.39,1.86,0.6,49.0,Good,9.1,76.6,0.039,0.02,30.15,54.9
North Caucasian,Grozny,2017-09-01,10.68,9.66,1.94,8.41,18.96,5.27,0.54,4.95,38.42,0.98,1.59,0.54,45.0,Good,9.9,81.5,0.037,1.2,31.24,54.7
North Caucasian,Grozny,2017-10-01,16.24,31.24,14.45,17.26,20.2,5.97,0.51,6.45,88.02,,0.82,0.63,60.0,Moderate,4.4,76.4,0.065,1.62,30.62,54.9
North Caucasian,Grozny,2017-11-01,15.78,37.95,15.8,26.1,20.53,2.44,1.04,14.5,46.73,1.64,4.17,0.63,59.0,Moderate,15.4,80.9,0.0,0.14,30.35,54.8
North Caucasian,Grozny,2017-12-01,29.76,40.44,16.89,18.79,32.83,5.55,0.71,12.27,108.57,2.28,1.25,0.53,88.0,Moderate,6.5,87.4,0.208,-0.51,31.03,55.0
North Caucasian,Grozny,2018-01-01,,,15.77,30.08,33.89,3.16,0.76,8.68,119.8,0.37,4.47,0.06,,,8.8,83.3,0.095,-0.97,30.44,54.7
North Caucasian,Grozny,2018-02-01,17.54,48.51,14.71,26.59,23.52,7.52,0.64,,97.18,1.72,,1.03,62.0,Moderate,7.0,82.6,0.123,-1.41,30.13,54.8
North Caucasian,Grozny,2018-03-01,7.73,25.0,8.19,21.39,26.34,8.0,0.96,4.82,45.76,1.12,3.47,0.95,32.0,Good,5.6,73.7,0.118,0.02,30.02,54.9
North Caucasian,Grozny,2018-04-01,17.69,,11.85,23.5,17.57,5.44,0.69,5.66,51.32,1.0,1.4,0.8,63.0,Moderate,9.8,70.6,0.161,1.35,31.0,54.5
North Caucasian,Grozny,2018-05-01,17.56,30.06,5.26,12.39,13.98,6.12,0.4,8.01,60.94,0.01,2.79,0.49,62.0,Moderate,16.0,54.9,0.145,2.99,31.36,54.7
North Caucasian,Grozny,2018-06-01,12.72,28.85,7.04,7.56,15.73,2.65,0.83,1.0,41.81,0.31,1.88,0.09,52.0,Moderate,4.9,61.6,0.142,1.53,31.8,55.0
North Caucasian,Grozny,2018-07-01,6.16,14.63,7.15,7.51,22.28,5.55,0.18,3.14,19.28,0.03,2.47,0.41,26.0,Good,6.1,77.4,0.107,0.59,30.1,54.8
North Caucasian,Grozny,2018-08-01,14.47,30.13,2.94,19.28,10.98,2.73,0.52,3.77,36.98,0.71,,0.42,56.0,Moderate,6.4,68.9,0.0,2.56,31.14,54.8
North Caucasian,Grozny,2018-09-01,10.62,26.29,11.42,9.91,25.76,4.73,0.73,6.17,69.12,0.9,1.82,0.29,44.0,Good,11.5,78.7,0.0,1.86,30.68,54.8
North Caucasian,Grozny,2018-10-01,21.56,19.04,1.34,23.48,27.12,5.88,0.57,6.61,67.59,0.29,3.25,0.62,71.0,Moderate,10.0,84.8,0.078,-0.67,30.53,54.8
North Caucasian,Grozny,2018-11-01,9.91,35.55,12.14,17.39,15.32,1.89,0.56,6.58,56.34,,4.03,1.02,41.0,Good,10.2,91.4,0.075,0.51,29.63,54.7
North Caucasian,Grozny,2018-12-01,29.7,38.54,18.37,32.49,24.54,7.38,,12.63,90.16,1.34,2.83,0.3,88.0,Moderate,13.4,88.5,0.0,2.07,31.07,54.8
North Caucasian,Grozny,2019-01-01,19.41,36.65,20.27,22.42,31.87,8.31,1.47,8.35,124.84,1.75,5.74,1.11,66.0,Moderate,10.9,74.1,0.071,-1.25,30.83,54.7
North Caucasian,Grozny,2019-02-01,18.08,36.9,12.76,18.49,14.48,3.05,0.66,9.92,87.3,1.09,3.18,1.11,64.0,Moderate,5.7,78.7,0.109,5.21,29.8,54.7
North Caucasian,Grozny,2019-03-01,14.37,11.05,10.44,20.93,23.52,2.26,0.52,7.17,69.95,0.06,1.87,0.06,56.0,Moderate,4.0,76.7,0.08,-0.41,30.45,54.7
North Caucasian,Grozny,2019-04-01,15.57,16.24,12.49,15.52,12.01,2.6,0.61,13.82,72.69,0.39,1.93,0.56,58.0,Moderate,10.6,68.1,0.0,1.22,29.68,54.8
North Caucasian,Grozny,2019-05-01,15.44,12.88,13.11,16.78,16.51,4.68,0.48,1.0,51.48,0.93,2.82,0.26,58.0,Moderate,10.1,56.9,0.183,0.74,30.26,54.8
North Caucasian,Grozny,2019-06-01,13.38,17.9,8.94,16.17,15.91,3.56,0.67,9.93,69.33,1.32,0.88,0.58,54.0,Moderate,5.4,73.0,0.116,0.38,30.5,54.5
North Caucasian,Grozny,2019-07-01,18.0,13.0,10.98,14.21,13.8,1.8,0.39,4.76,29.65,0.8,1.04,0.8,63.0,Moderate,8.3,75.5,0.094,2.87,30.28,54.7
North Caucasian,Grozny,2019-08-01,15.62,34.26,7.23,13.79,14.47,4.61,0.52,5.73,,0.8,2.95,0.71,58.0,Moderate,2.6,83.4,0.278,-1.79,30.97,54.9
North Caucasian,Grozny,2019-09-01,17.92,29.94,11.02,11.33,11.4,4.54,0.7,6.27,38.74,1.06,3.23,0.75,63.0,Moderate,8.0,74.0,0.164,2.99,29.77,54.7
North Caucasian,Grozny,2019-10-01,18.33,37.86,7.09,10.16,,4.77,1.04,11.0,55.38,1.51,3.46,0.38,64.0,Moderate,9.2,74.2,0.208,2.56,30.48,54.7
North Caucasian,Grozny,2019-11-01,14.75,39.63,8.64,19.9,21.63,5.93,1.05,,45.35,0.16,4.35,0.18,57.0,Moderate,12.1,87.7,0.125,3.16,29.89,54.7
North Caucasian,Grozny,2019-12-01,24.07,34.48,11.37,26.87,28.48,6.46,1.0,3.31,62.2,1.55,2.62,1.05,76.0,Moderate,12.5,93.3,0.029,1.71,31.08,54.7
North Caucasian,Grozny,2020-01-01,31.96,51.18,12.24,14.17,28.87,4.2,,12.01,89.03,1.38,6.13,1.29,93.0,Moderate,4.6,83.0,0.042,0.93,31.43,54.7
North Caucasian,Grozny,2020-02-01,26.34,44.34,9.09,28.25,23.22,10.52,1.06,12.11,56.69,1.65,3.41,1.11,81.0,Moderate,7.5,72.6,0.002,0.57,30.95,54.7
North Caucasian,Grozny,2020-03-01,18.34,26.34,4.04,13.59,14.99,,1.14,6.13,43.48,0.71,3.01,0.57,64.0,Moderate,13.8,79.4,0.171,0.51,30.53,54.8
North Caucasian,Grozny,2020-04-01,9.6,5.0,7.47,5.56,11.16,,0.18,1.06,40.72,0.2,3.07,0.3,40.0,Good,12.0,63.3,0.134,2.52,31.5,54.6
North Caucasian,Grozny,2020-05-01,2.2,12.57,10.29,11.0,11.9,4.2,0.36,2.65,33.05,0.74,2.31,0.2,9.0,Good,6.4,58.6,0.137,2.45,30.43,54.9
North Caucasian,Grozny,2020-06-01,13.72,16.22,6.38,12.15,11.81,3.68,0.53,1.0,29.84,0.39,0.82,0.65,54.0,Moderate,9.6,66.2,0.21,-0.25,30.29,54.6
North Caucasian,Grozny,2020-07-01,11.29,26.06,5.97,15.77,15.82,2.65,0.66,5.74,42.68,0.91,,0.31,47.0,Good,7.5,63.6,0.128,-0.03,30.12,54.8
North Caucasian,Grozny,2020-08-01,14.08,17.95,8.03,17.02,13.66,3.67,0.44,3.21,52.02,0.26,2.05,0.73,55.0,Moderate,6.9,84.6,0.059,2.15,31.07,54.6
North Caucasian,Grozny,2020-09-01,15.81,37.61,8.81,20.67,12.41,6.12,1.01,8.07,,1.18,2.72,0.59,59.0,Moderate,12.5,75.7,0.216,1.59,31.45,54.7
North Caucasian,Grozny,2020-10-01,11.89,17.01,6.4,11.31,14.83,4.34,0.75,5.75,37.43,0.61,1.96,0.81,50.0,Good,12.4,87.2,0.007,1.89,31.2,54.7
North Caucasian,Grozny,2020-11-01,11.25,45.24,9.53,,31.54,5.47,0.57,11.7,104.2,1.63,4.51,1.0,47.0,Good,9.7,78.9,0.145,1.34,30.56,54.6
North Caucasian,Grozny,2020-12-01,22.0,19.66,16.56,30.83,11.11,7.78,0.43,12.85,62.26,1.21,3.17,1.02,72.0,Moderate,6.8,86.1,0.017,-1.19,29.95,54.8
North Caucasian,Grozny,2021-01-01,18.5,57.86,18.41,34.07,17.95,8.59,0.5,7.26,79.4,0.37,1.77,1.2,64.0,Moderate,4.6,85.9,0.238,2.05,31.06,54.9
North Caucasian,Grozny,2021-02-01,26.85,30.18,15.69,25.07,37.86,3.92,0.64,5.74,75.09,1.59,1.57,0.5,82.0,Moderate,7.0,77.7,0.173,3.31,30.9,54.7
North Caucasian,Grozny,2021-03-01,15.13,42.94,6.98,10.42,15.9,1.52,0.7,3.74,67.28,0.48,2.23,0.49,57.0,Moderate,12.2,72.1,0.0,0.68,31.32,54.8
North Caucasian,Grozny,2021-04-01,10.92,,1.8,14.11,16.61,8.21,0.28,6.04,62.14,0.6,1.94,0.59,46.0,Good,4.4,59.9,0.125,-0.39,30.98,54.4
North Caucasian,Grozny,2021-05-01,10.84,21.47,7.01,15.32,20.06,2.42,,4.42,63.61,0.98,1.23,,45.0,Good,6.5,58.5,0.107,0.97,30.41,54.5
North Caucasian,Grozny,2021-06-01,16.74,19.42,3.58,8.97,11.58,,0.43,3.58,42.99,0.66,1.13,0.29,61.0,Moderate,8.3,69.7,0.099,-0.21,31.18,54.6
North Caucasian,Grozny,2021-07-01,13.19,38.46,3.55,21.49,15.26,2.45,0.41,1.81,41.61,0.52,2.17,0.57,53.0,Moderate,7.1,63.0,0.007,1.52,30.71,54.5
North Caucasian,Grozny,2021-08-01,3.64,33.14,7.97,12.4,11.74,4.77,0.35,7.08,27.4,0.46,2.41,0.99,15.0,Good,9.7,75.4,0.213,0.43,31.83,54.8
North Caucasian,Grozny,2021-09-01,11.24,18.89,5.82,16.14,18.48,7.52,0.83,8.32,36.27,1.04,2.78,0.24,47.0,Good,5.9,77.9,0.1,1.05,31.15,54.6
